Apellido,Nombre,Documento,Propuesta,Plan,Estado Inscr.,Calidad,Regular,Locación
Perez,Martin,18569225,W,2012,Aceptado,Activo,N,Bernal
Moreno,Iker,18623763,W,2015,Aceptado,Activo,S,Bernal
Pascual,Raul,18665292,W,2012,Aceptado,Activo,N,Bernal
Gutierrez,Irene,18731222,W,2019,Aceptado,Pasivo,S,Bernal
Garcia,Enrique,18857043,W,2019,Aceptado,Activo,S,Bernal
Castillo,Fatima,18914174,W,2019,Aceptado,Activo,S,Bernal
Calvo,Eduardo,18918067,W,2019,Aceptado,Activo,S,Bernal
Benito,Victor,19043003,W,2012,Aceptado,Activo,N,Bernal
Garcia,Irene,19097529,W,2015,Aceptado,Activo,N,Bernal
Moreno,Rocio,19113048,W,2019,Aceptado,Activo,S,Bernal
Torres,Olga,19164255,W,2019,Aceptado,Activo,S,Bernal
Ezquerro,Alba,19177323,W,2019,Pendiente,Activo,S,Bernal
Peña,Maria Luisa,19184971,W,2019,Aceptado,Activo,S,Bernal
Gabarri,Antonia,19209887,W,2019,Aceptado,Activo,S,Bernal
Lopez,Adrian,19209982,W,2012,Aceptado,Activo,N,Bernal
Marin,Alfredo,19231184,W,2012,Aceptado,Activo,S,Bernal
Lopez,Irene,19264479,W,2015,Aceptado,Activo,N,Bernal
Alvarez,Jose Manuel,19338743,W,2015,Aceptado,Activo,N,Bernal
Ezquerro,Maria,19343872,W,2015,Aceptado,Pasivo,S,Bernal
Leon,Daniel,19403912,W,2015,Aceptado,Activo,N,Bernal
Castillo,Sara,19455102,W,2019,Aceptado,Activo,S,Bernal
Herce,Mohammed,19479167,W,2019,Aceptado,Activo,S,Bernal
Cordon,Manuel,19489730,W,2019,Aceptado,Activo,S,Bernal
Diez,Dario,19526677,W,2019,Aceptado,Activo,S,Bernal
Peña,Hector,19585501,W,2019,Aceptado,Activo,S,Bernal
Moreno,Maria Nieves,19606246,W,2019,Aceptado,Activo,S,Bernal
Saez,Adrian,19636943,W,2015,Aceptado,Activo,N,Bernal
Garcia,Vicente,19667425,W,2019,Aceptado,Activo,S,Bernal
Perez,Hugo,19680961,W,2019,Pendiente,Activo,S,Bernal
Moreno,Mateo,19681216,W,2015,Aceptado,Activo,N,Bernal
Moreno,Victor,19681420,W,2015,Aceptado,Activo,S,Bernal
Ruiz,Maria Dolores,19687981,W,2015,Aceptado,Activo,N,Bernal
Ramirez,Miguel,19715344,W,2015,Aceptado,Activo,N,Bernal
Herce,Julia,19772846,W,2019,Aceptado,Activo,S,Bernal
Merino,Jose Ramon,19773343,W,2019,Aceptado,Activo,S,Bernal
Romero,Francisco Javier,19820818,W,2015,Aceptado,Activo,S,Bernal
Fernandez,Alfredo,20003983,W,2019,Pendiente,Activo,S,Bernal
Blanco,Natalia,20131240,W,2019,Aceptado,Activo,S,Bernal
Jimenez,Josep,20180897,W,2012,Aceptado,Activo,N,Bernal
Garrido,Eva,20181613,W,2019,Aceptado,Activo,S,Bernal
Lopez,Oscar,20291945,W,2019,Pendiente,Activo,S,Bernal
Ibañez,Jordi,20301188,W,2015,Aceptado,Activo,N,Bernal
Ochoa,Carmen,20414715,W,2015,Aceptado,Activo,N,Bernal
Diaz,Sofia,20415307,W,2019,Aceptado,Activo,S,Bernal
Saez,Rosa,20427582,W,2019,Aceptado,Activo,S,Bernal
Lopez,Gloria,20427604,W,2015,Aceptado,Activo,N,Bernal
Miguel,Consuelo,20517104,W,2019,Aceptado,Activo,S,Bernal
Gutierrez,Mateo,20570744,W,2019,Aceptado,Activo,S,Bernal
Alvarez,Rosa,20611232,W,2019,Aceptado,Activo,S,Bernal
Jimenez,Mariano,20671148,W,2019,Aceptado,Activo,S,Bernal
Garcia,Marco,20745556,W,2019,Aceptado,Activo,S,Bernal
Lopez,Vicente,20759865,W,2019,Aceptado,Activo,S,Bernal
Romero,Juan Francisco,20775580,W,2012,Aceptado,Activo,N,Bernal
Garcia,Cristobal,20795494,W,2015,Aceptado,Activo,S,Bernal
Rodriguez,Ramon,20808382,W,2019,Aceptado,Activo,S,Bernal
Gonzalez,Victor,20823227,W,2019,Aceptado,Activo,S,Bernal
Perez,Miguel,20857411,W,2019,Aceptado,Activo,S,Bernal
Herce,Gema,20864183,W,2015,Aceptado,Activo,N,Bernal
Perez,Julian,20907846,W,2019,Aceptado,Activo,S,Bernal
Romero,Maria Mar,20943498,W,2015,Aceptado,Activo,N,Bernal
Lopez,Manuela,20955193,W,2015,Aceptado,Activo,N,Bernal
Ibañez,Alfredo,21100205,W,2012,Aceptado,Activo,S,Bernal
Hernandez,Pedro,21120799,W,2015,Aceptado,Activo,S,Bernal
Alonso,Gloria,21178965,W,2015,Aceptado,Activo,N,Bernal
Saenz,Mario,21179122,W,2019,Aceptado,Activo,S,Bernal
Garcia,Veronica,21197912,W,2012,Aceptado,Activo,N,Bernal
Hernandez,Angeles,21206346,W,2019,Aceptado,Activo,S,Bernal
Pascual,Maria Pilar,21210402,W,2015,Aceptado,Activo,N,Bernal
Diaz,Joel,21229080,W,2012,Aceptado,Activo,N,Bernal
Dominguez,Sara,21241653,W,2019,Aceptado,Activo,S,Bernal
Merino,Gloria,21319689,W,2019,Aceptado,Activo,S,Bernal
Ramirez,Aitor,21336520,W,2019,Aceptado,Activo,S,Bernal
Pascual,Juan,21341329,W,2019,Aceptado,Activo,S,Bernal
Torres,Ainhoa,21427701,W,2012,Aceptado,Activo,N,Bernal
Sanchez,Marcos,21462021,W,2012,Aceptado,Activo,N,Bernal
Diaz,Margarita,21494640,W,2015,Aceptado,Activo,S,Bernal
Pascual,Raquel,21548633,W,2019,Aceptado,Activo,S,Bernal
Ruiz,Concepcion,21569051,W,2019,Aceptado,Activo,S,Bernal
Sainz,Mateo,21640533,W,2019,Pendiente,Activo,S,Bernal
Perez,Victoria,21720421,W,2019,Aceptado,Activo,S,Bernal
Alonso,Alberto,21720609,W,2019,Aceptado,Activo,S,Bernal
Ruiz,Ainhoa,21729343,W,2015,Aceptado,Activo,S,Bernal
Saenz,Mercedes,21746795,W,2019,Aceptado,Activo,S,Bernal
Ibañez,Eva,21756316,W,2019,Aceptado,Activo,S,Bernal
Saenz,Alberto,21810365,W,2019,Aceptado,Activo,S,Bernal
Benito,Gloria,21834762,W,2015,Aceptado,Activo,N,Bernal
Ortega,Ana Maria,21836521,W,2019,Aceptado,Activo,S,Bernal
Ezquerro,Beatriz,21838378,W,2019,Aceptado,Activo,S,Bernal
Cordon,Maria Josefa,21849356,W,2012,Aceptado,Activo,N,Bernal
Gabarri,Esperanza,21856408,W,2015,Aceptado,Activo,N,Bernal
Diaz,Jose Angel,21973830,W,2019,Pendiente,Activo,S,Bernal
Gutierrez,Arturo,21973907,W,2019,Aceptado,Activo,S,Bernal
Diez,Francisco Jose,21974017,W,2019,Aceptado,Activo,S,Bernal
Gonzalez,Esperanza,21998115,W,2019,Aceptado,Activo,S,Bernal
Ezquerro,Gloria,22041891,W,2019,Pendiente,Activo,S,Bernal
Cordon,Salvador,22044125,W,2015,Aceptado,Activo,N,Bernal
Garcia,Agustin,22066377,W,2015,Aceptado,Activo,N,Bernal
Gabarri,Julia,22071381,W,2012,Aceptado,Activo,N,Bernal
Hernandez,Daniel,22086604,W,2012,Aceptado,Activo,S,Bernal
Ezquerro,Ines,22128530,W,2019,Aceptado,Activo,S,Bernal
Sanchez,Julian,22138310,W,2019,Pendiente,Activo,S,Bernal
Perez,Joaquin,22138664,W,2019,Aceptado,Activo,S,Bernal
Benito,Encarnacion,22139332,W,2015,Aceptado,Activo,N,Bernal
Diez,Sara,22168757,W,2019,Aceptado,Activo,S,Bernal
Diaz,Alberto,22168992,W,2019,Aceptado,Activo,S,Bernal
Palacios,Roberto,22185995,W,2019,Aceptado,Activo,S,Bernal
Benito,Susana,22203760,W,2019,Aceptado,Activo,S,Bernal
Ramirez,Esther,22246592,W,2019,Aceptado,Activo,S,Bernal
Cordon,Belen,22294983,W,2019,Pendiente,Activo,S,Bernal
Martinez,Angel,22326271,W,2015,Aceptado,Activo,N,Bernal
Gabarri,Luis Miguel,22326427,W,2019,Aceptado,Activo,N,Bernal
Alonso,Cesar,22390445,W,2019,Aceptado,Activo,S,Bernal
Ramirez,Francisco,22405658,W,2015,Aceptado,Activo,S,Bernal
Herce,Antonia,22405727,W,2019,Aceptado,Activo,S,Bernal
Garrido,Alejandra,22405845,W,2019,Aceptado,Activo,N,Bernal
Medrano,Beatriz,22405890,W,2019,Aceptado,Activo,S,Bernal
Leon,Maria Mercedes,22413017,W,2015,Aceptado,Activo,N,Bernal
Fernandez,Laura,22479981,W,2019,Aceptado,Pasivo,S,Bernal
Gutierrez,Jonathan,22487315,W,2019,Aceptado,Activo,S,Bernal
Calvo,Aitor,22503379,W,2015,Aceptado,Activo,S,Bernal
Martinez,Maria,22507526,W,2019,Aceptado,Activo,N,Bernal
Ortiz,Lucas,22529101,W,2019,Aceptado,Activo,S,Bernal
Romero,Magdalena,22549885,W,2015,Aceptado,Activo,S,Bernal
Miguel,Felix,22567062,W,2019,Aceptado,Activo,S,Bernal
Ortega,Clara,22584638,W,2012,Aceptado,Activo,N,Bernal
Peña,Sofia,22594302,W,2019,Aceptado,Activo,S,Bernal
Fernandez,Gonzalo,22607808,W,2019,Aceptado,Activo,S,Bernal
Gabarri,Adolfo,22641757,W,2019,Aceptado,Activo,S,Bernal
Diez,Luisa,22668501,W,2019,Aceptado,Activo,S,Bernal
Medrano,Asuncion,22675469,W,2019,Aceptado,Activo,S,Bernal
Ochoa,Marc,22690244,W,2019,Aceptado,Activo,S,Bernal
Santamaria,Esteban,22691658,W,2019,Aceptado,Activo,S,Bernal
Gonzalez,Nerea,22747271,W,2015,Aceptado,Activo,N,Bernal
Santamaria,Esteban,22756301,W,2012,Aceptado,Activo,N,Bernal
Ezquerro,Alberto,22756383,W,2015,Aceptado,Activo,N,Bernal
Herce,Lourdes,22756426,W,2015,Aceptado,Activo,N,Bernal
Gonzalez,Julia,22762383,W,2019,Aceptado,Activo,S,Bernal
Ruiz,Lucas,22768493,W,2012,Aceptado,Activo,N,Bernal
Ramirez,Sofia,22819867,W,2015,Aceptado,Activo,N,Bernal
Ortiz,Ruben,22888120,W,2012,Aceptado,Activo,N,Bernal
Benito,Magdalena,22916208,W,2015,Aceptado,Activo,N,Bernal
Ramirez,Concepcion,22939489,W,2015,Aceptado,Activo,S,Bernal
Garcia,Emilio,22941876,W,2015,Aceptado,Activo,S,Bernal
Saez,Miriam,22970936,W,2015,Aceptado,Activo,S,Bernal
Dominguez,Alexandra,22976021,W,2019,Aceptado,Activo,S,Bernal
Gabarri,Lorena,22977386,W,2015,Aceptado,Activo,N,Bernal
Benito,Ismael,22994955,W,2019,Aceptado,Activo,S,Bernal
Martin,Alba,22995189,W,2019,Aceptado,Activo,S,Bernal
Alvarez,Carla,23025163,W,2019,Aceptado,Activo,S,Bernal
Lopez,Alicia,23078053,W,2019,Aceptado,Activo,S,Bernal
Martinez,Claudia,23103782,W,2019,Aceptado,Activo,S,Bernal
Leon,Marina,23142645,W,2019,Aceptado,Activo,S,Bernal
Herce,Ivan,23147001,W,2015,Aceptado,Activo,S,Bernal
Martinez,Ruben,23149817,W,2012,Aceptado,Activo,N,Bernal
Sanchez,Jose,23162880,W,2019,Aceptado,Activo,S,Bernal
Blanco,Jonathan,23174241,W,2019,Aceptado,Activo,S,Bernal
Saenz,Francisco Javier,23178441,W,2015,Aceptado,Activo,N,Bernal
Romero,Maria Teresa,23232416,W,2019,Pendiente,Activo,S,Bernal
Rubio,Alfredo,23233471,W,2015,Aceptado,Activo,N,Bernal
Fernandez,Manuela,23246511,W,2015,Aceptado,Activo,N,Bernal
Sainz,Luz,23248723,W,2019,Aceptado,Activo,S,Bernal
Garrido,Agustin,23257822,W,2012,Aceptado,Activo,N,Bernal
Lopez,Rosario,23315917,W,2012,Aceptado,Activo,N,Bernal
Ochoa,Andres,23315925,W,2015,Aceptado,Activo,N,Bernal
Castillo,Roberto,23325533,W,2019,Aceptado,Activo,S,Bernal
Medrano,Daniel,23327909,W,2019,Aceptado,Activo,S,Bernal
Garrido,Sofia,23336931,W,2015,Aceptado,Activo,N,Bernal
Ramirez,Yolanda,23337907,W,2019,Aceptado,Activo,S,Bernal
Diaz,Gloria,23341613,W,2015,Aceptado,Pasivo,S,Bernal
Romero,Marcos,23351611,W,2015,Aceptado,Activo,S,Bernal
Fernandez,Agustin,23351860,W,2015,Aceptado,Activo,N,Bernal
Garcia,Consuelo,23375583,W,2015,Aceptado,Activo,N,Bernal
Medrano,Francisca,23392759,W,2019,Aceptado,Activo,S,Bernal
Diez,Agustin,23403829,W,2012,Aceptado,Activo,N,Bernal
Fernandez,Elena,23441272,W,2019,Aceptado,Activo,S,Bernal
Herce,Angela,23451991,W,2019,Aceptado,Activo,S,Bernal
Alvarez,Miguel Angel,23478952,W,2019,Aceptado,Activo,S,Bernal
Palacios,Mario,23479023,W,2019,Aceptado,Activo,S,Bernal
Leon,Angel,23492114,W,2019,Aceptado,Activo,S,Bernal
Herce,Rosa Maria,23492259,W,2019,Aceptado,Activo,S,Bernal
Ibañez,Emilia,23492264,W,2019,Aceptado,Activo,S,Bernal
Lopez,Mohamed,23512000,W,2012,Aceptado,Activo,S,Bernal
Saez,Rosa Maria,23512004,W,2012,Aceptado,Activo,N,Bernal
Hernandez,Salvador,23512007,W,2012,Aceptado,Activo,N,Bernal
Ezquerro,Adolfo,23514148,W,2012,Aceptado,Activo,N,Bernal
Rubio,Tomas,23545733,W,2012,Aceptado,Pasivo,N,Bernal
Calvo,Salvador,23551417,W,2015,Aceptado,Pasivo,N,Bernal
Romero,Sergio,23643981,W,2019,Aceptado,Activo,S,Bernal
Gonzalez,Victoria,23670383,W,2015,Aceptado,Activo,N,Bernal
Moreno,Patricia,23752029,W,2019,Aceptado,Activo,S,Bernal
Ramirez,Mario,23759120,W,2019,Aceptado,Activo,S,Bernal
Leon,Jaime,23772130,W,2019,Aceptado,Activo,S,Bernal
Ezquerro,Agustin,23776099,W,2019,Aceptado,Activo,S,Bernal
Moreno,Amparo,23788203,W,2019,Aceptado,Activo,S,Bernal
Perez,Alfredo,23796375,W,2019,Aceptado,Activo,S,Bernal
Gutierrez,Margarita,23806072,W,2019,Aceptado,Activo,S,Bernal
Alvarez,Emilio,23810250,W,2019,Aceptado,Activo,S,Bernal
Perez,Lorena,23834053,W,2019,Aceptado,Activo,S,Bernal
Merino,Clara,23834123,W,2019,Pendiente,Activo,S,Bernal
Rodriguez,Hugo,23834209,W,2015,Aceptado,Activo,S,Bernal
Dominguez,Oscar,23834266,W,2019,Aceptado,Activo,S,Bernal
Diaz,Juan Antonio,23837199,W,2012,Aceptado,Activo,S,Bernal
Gil,Ana Maria,23859980,W,2019,Aceptado,Activo,S,Bernal
Merino,Manuel,23861762,W,2019,Aceptado,Activo,S,Bernal
Gil,Carlos,23865312,W,2019,Aceptado,Activo,S,Bernal
Gonzalez,Sergio,23926488,W,2019,Aceptado,Activo,S,Bernal
Merino,Catalina,23929424,W,2019,Aceptado,Activo,S,Bernal
Hernandez,Catalina,23929505,W,2019,Aceptado,Activo,S,Bernal
Miguel,Jose Ramon,23929676,W,2019,Aceptado,Activo,S,Bernal
Leon,Raul,23929809,W,2015,Aceptado,Activo,N,Bernal
Miguel,Iker,23932713,W,2019,Aceptado,Activo,S,Bernal
Garrido,Juan,23939690,W,2012,Aceptado,Activo,S,Bernal
Marin,Daniela,23956352,W,2019,Aceptado,Activo,S,Bernal
Rubio,Rodrigo,23980648,W,2019,Aceptado,Activo,S,Bernal
Alonso,Alex,23992124,W,2019,Aceptado,Activo,S,Bernal
Saenz,Andres,23999085,W,2015,Aceptado,Activo,N,Bernal
Romero,Lourdes,24007005,W,2019,Aceptado,Activo,S,Bernal
Moreno,Luisa,24013680,W,2012,Aceptado,Activo,N,Bernal
Gil,Mohammed,24020735,W,2019,Aceptado,Activo,S,Bernal
Palacios,Cesar,24020835,W,2015,Aceptado,Activo,N,Bernal
Ezquerro,Pau,24021022,W,2019,Aceptado,Activo,S,Bernal
Diez,Martina,24024998,W,2019,Aceptado,Activo,S,Bernal
Ochoa,Alexandra,24040597,W,2015,Aceptado,Activo,N,Bernal
Merino,Diana,24048589,W,2019,Aceptado,Activo,S,Bernal
Ezquerro,Alfredo,24061321,W,2012,Aceptado,Activo,N,Bernal
Ibañez,Mario,24071085,W,2019,Aceptado,Activo,S,Bernal
Sainz,Laura,24108722,W,2019,Aceptado,Activo,S,Bernal
Lopez,Esther,24129773,W,2015,Aceptado,Activo,N,Bernal
Perez,Veronica,24166372,W,2019,Aceptado,Activo,S,Bernal
Peña,Mario,24166980,W,2019,Aceptado,Activo,S,Bernal
Dominguez,Felix,24174165,W,2015,Aceptado,Activo,N,Bernal
Fernandez,Jose Antonio,24217412,W,2019,Aceptado,Pasivo,S,Bernal
Peña,David,24217577,W,2012,Aceptado,Activo,N,Bernal
Moreno,Mar,24224380,W,2019,Pendiente,Activo,S,Bernal
Torres,Carmen,24224705,W,2019,Aceptado,Activo,S,Bernal
Pascual,Susana,24234770,W,2012,Aceptado,Activo,N,Bernal
Rubio,Juan Jose,24264387,W,2012,Aceptado,Activo,N,Bernal
Sainz,Fatima,24269287,W,2019,Aceptado,Activo,S,Bernal
Palacios,Hector,24280486,W,2015,Aceptado,Activo,N,Bernal
Benito,Manuela,24283072,W,2019,Aceptado,Pasivo,S,Bernal
Blanco,Jordi,24296975,W,2019,Aceptado,Activo,S,Bernal
Santamaria,Francisco Jose,24296999,W,2015,Aceptado,Activo,N,Bernal
Gil,Josefa,24301646,W,2019,Aceptado,Activo,S,Bernal
Castillo,Nerea,24323984,W,2019,Aceptado,Activo,S,Bernal
Leon,Victor Manuel,24342062,W,2015,Aceptado,Activo,N,Bernal
Alvarez,Nerea,24349217,W,2015,Aceptado,Activo,S,Bernal
Diez,Felipe,24356496,W,2019,Aceptado,Activo,S,Bernal
Perez,Diego,24362867,W,2019,Aceptado,Activo,S,Bernal
Rodriguez,Alejandra,24415536,W,2019,Aceptado,Activo,S,Bernal
Diez,Alexandra,24484917,W,2019,Aceptado,Activo,S,Bernal
Palacios,Jose Francisco,24514249,W,2015,Aceptado,Pasivo,S,Bernal
Alvarez,Raquel,24514325,W,2019,Aceptado,Activo,S,Bernal
Romero,Nicolas,24514529,W,2019,Aceptado,Activo,S,Bernal
Garcia,Daniel,24531297,W,2019,Aceptado,Activo,S,Bernal
Herce,Nieves,24536367,W,2019,Aceptado,Activo,S,Bernal
Rodriguez,Maria Isabel,24560468,W,2015,Aceptado,Activo,N,Bernal
Gabarri,Felix,24560623,W,2015,Aceptado,Activo,N,Bernal
Saez,Eugenio,24560703,W,2012,Aceptado,Activo,N,Bernal
Diez,Juan Carlos,24569739,W,2019,Aceptado,Activo,S,Bernal
Diez,Jose Carlos,24615885,W,2015,Aceptado,Pasivo,S,Bernal
Torres,Oscar,24616144,W,2012,Aceptado,Activo,S,Bernal
Alvarez,Martin,24621253,W,2019,Aceptado,Activo,S,Bernal
Garrido,Monica,24631280,W,2015,Aceptado,Activo,S,Bernal
Garcia,Paula,24631351,W,2019,Aceptado,Activo,S,Bernal
Muñoz,Alex,24631797,W,2015,Aceptado,Activo,S,Bernal
Ibañez,Juan,24635436,W,2019,Aceptado,Activo,S,Bernal
Diaz,Maria Soledad,24646735,W,2015,Aceptado,Activo,N,Bernal
